class,class_title,counts,yr,patents,uspc,ctg,hjt_num,hjt
002,Apparel,original,1995,270,2,100,63,Others
004,"Baths, Closets, Sinks, and Spittoons",original,1995,230,4,100,65,Others
005,Beds,original,1995,268,5,100,65,Others
007,Compound Tools,original,1995,14,7,100,59,Mechanical
008,Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers,original,1995,188,8,100,11,Chemical
012,Boot and Shoe Making,original,1995,7,12,100,63,Others
014,Bridges,original,1995,44,14,100,69,Others
015,"Brushing, Scrubbing, and General Cleaning",original,1995,432,15,100,69,Others
016,"Miscellaneous Hardware (e.g., Bushing, Carpet Fastener, Caster, Door Closer, Panel Hanger, Attachable or Adjunct Handle, Hinge, Window Sash Balance, Etc.)",original,1995,148,16,100,59,Mechanical
019,Textiles:  Fiber Preparation,original,1995,66,19,100,11,Chemical
023,Chemistry: Physical Processes,original,1995,12,23,100,19,Chemical
024,"Buckles, Buttons, Clasps, Etc.",original,1995,236,24,100,63,Others
026,Textiles: Cloth Finishing,original,1995,26,26,100,63,Others
027,Undertaking,original,1995,14,27,100,69,Others
028,Textiles:  Manufacturing,original,1995,60,28,100,63,Others
029,Metal Working,original,1995,878,29,100,52,Mechanical
030,Cutlery,original,1995,213,30,100,65,Others
033,Geometrical Instruments,original,1995,320,33,100,69,Others
034,Drying and Gas or Vapor Contact with Solids,original,1995,167,34,100,19,Chemical
036,"Boots, Shoes, and Leggings",original,1995,160,36,100,63,Others
037,Excavating,original,1995,86,37,100,64,Others
038,Textiles:  Ironing or Smoothing,original,1995,29,38,100,63,Others
040,"Card, Picture, or Sign Exhibiting",original,1995,191,40,100,69,Others
042,Firearms,original,1995,139,42,100,59,Mechanical
043,"Fishing, Trapping, and Vermin Destroying",original,1995,212,43,100,61,Others
044,Fuel and Related Compositions,original,1995,96,44,100,19,Chemical
047,Plant Husbandry,original,1995,173,47,100,61,Others
048,Gas: Heating and Illuminating,original,1995,34,48,100,13,Chemical
049,Movable or Removable Closures,original,1995,174,49,100,59,Mechanical
051,"Abrasive Tool Making Process, Material, or Composition",original,1995,51,51,100,59,Mechanical
052,"Static Structures (e.g., Buildings)",original,1995,616,52,100,69,Others
053,Package Making,original,1995,418,53,100,68,Others
054,Harness for Working Animal,original,1995,16,54,100,69,Others
055,Gas Separation,original,1995,77,55,100,13,Chemical
056,Harvesters,original,1995,198,56,100,61,Others
057,"Textiles:  Spinning, Twisting, and Twining",original,1995,111,57,100,63,Others
059,"Chain, Staple, and Horseshoe Making",original,1995,20,59,100,69,Others
060,Power Plants,original,1995,620,60,100,45,Electrical & Electronic
062,Refrigeration,original,1995,636,62,100,69,Others
063,Jewelry,original,1995,36,63,100,69,Others
065,Glass Manufacturing,original,1995,101,65,100,51,Mechanical
066,Textiles:  Knitting,original,1995,69,66,100,63,Others
068,Textiles:  Fluid Treating Apparatus,original,1995,62,68,100,63,Others
069,Leather Manufactures,original,1995,0,69,100,63,Others
070,Locks,original,1995,210,70,100,65,Others
071,Chemistry: Fertilizers,original,1995,61,71,100,11,Chemical
072,Metal Deforming,original,1995,277,72,100,52,Mechanical
073,Measuring and Testing,original,1995,1356,73,100,43,Electrical & Electronic
074,Machine Element or Mechanism,original,1995,373,74,100,59,Mechanical
075,"Specialized Metallurgical Processes, Compositions for Use Therein, Consolidated Metal Powder Compositions, and Loose Metal Particulate Mixtures",original,1995,245,75,100,52,Mechanical
076,"Metal Tools and Implements, Making",original,1995,44,76,100,52,Mechanical
079,Button Making,original,1995,0,79,100,63,Others
081,Tools,original,1995,142,81,100,59,Mechanical
082,Turning,original,1995,33,82,100,51,Mechanical
083,Cutting,original,1995,183,83,100,51,Mechanical
084,Music,original,1995,343,84,100,69,Others
086,Ammunition and Explosive-Charge Making,original,1995,16,86,100,59,Mechanical
087,"Textiles: Braiding, Netting, and Lace Making",original,1995,11,87,100,63,Others
089,Ordnance,original,1995,131,89,100,59,Mechanical
091,Motors: Expansible Chamber Type,original,1995,67,91,100,53,Mechanical
092,Expansible Chamber Devices,original,1995,101,92,100,53,Mechanical
095,Gas Separation:  Processes,original,1995,135,95,100,13,Chemical
096,Gas Separation:  Apparatus,original,1995,97,96,100,13,Chemical
099,Foods and Beverages: Apparatus,original,1995,309,99,100,61,Others
100,Presses,original,1995,99,100,100,59,Mechanical
101,Printing,original,1995,339,101,200,69,Others
102,Ammunition and Explosives,original,1995,180,102,200,19,Chemical
104,Railways,original,1995,82,104,200,55,Mechanical
105,Railway Rolling Stock,original,1995,78,105,200,55,Mechanical
106,Compositions:  Coating or Plastic,original,1995,406,106,200,12,Chemical
108,Horizontally Supported Planar Surfaces,original,1995,138,108,200,69,Others
109,"Safes, Bank Protection, or a Related Device",original,1995,11,109,200,69,Others
110,Furnaces,original,1995,80,110,200,66,Others
111,Planting,original,1995,41,111,200,61,Others
112,Sewing,original,1995,134,112,200,63,Others
114,Ships,original,1995,268,114,200,55,Mechanical
116,Signals and Indicators,original,1995,58,116,200,69,Others
117,"Single-Crystal, Oriented-Crystal, and Epitaxy Growth Processes; Non-Coating Apparatus Therefor",original,1995,177,117,200,19,Chemical
118,Coating Apparatus,original,1995,323,118,200,12,Chemical
119,Animal Husbandry,original,1995,248,119,200,61,Others
122,Liquid Heaters and Vaporizers,original,1995,47,122,200,66,Others
123,Internal-Combustion Engines,original,1995,864,123,200,53,Mechanical
124,Mechanical Guns and Projectors,original,1995,108,124,200,59,Mechanical
125,Stone Working,original,1995,20,125,200,51,Mechanical
126,Stoves and Furnaces,original,1995,169,126,200,66,Others
127,"Sugar, Starch, and Carbohydrates",original,1995,23,127,200,11,Chemical
128,Surgery,original,1995,389,128,200,32,Drugs & Medical
131,Tobacco,original,1995,90,131,200,61,Others
132,Toilet,original,1995,96,132,200,65,Others
134,Cleaning and Liquid Contact with Solids,original,1995,321,134,200,69,Others
135,"Tent, Canopy, Umbrella, or Cane",original,1995,90,135,200,69,Others
136,Batteries:  Thermoelectric and Photoelectric,original,1995,91,136,200,45,Electrical & Electronic
137,Fluid Handling,original,1995,581,137,200,69,Others
138,Pipes and Tubular Conduits,original,1995,127,138,200,67,Others
139,Textiles:  Weaving,original,1995,119,139,200,63,Others
140,Wireworking,original,1995,26,140,200,52,Mechanical
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",original,1995,209,141,200,51,Mechanical
142,Wood Turning,original,1995,1,142,200,51,Mechanical
144,Woodworking,original,1995,101,144,200,51,Mechanical
147,Coopering,original,1995,1,147,200,52,Mechanical
148,Metal Treatment,original,1995,378,148,200,52,Mechanical
149,Explosive and Thermic Compositions or Charges,original,1995,52,149,200,19,Chemical
150,"Purses, Wallets, and Protective Covers",original,1995,15,150,200,69,Others
152,Resilient Tires and Wheels,original,1995,135,152,200,55,Mechanical
156,Adhesive Bonding and Miscellaneous Chemical Manufacture,original,1995,806,156,200,19,Chemical
157,Wheelwright Machines,original,1995,8,157,200,59,Mechanical
159,Concentrating Evaporators,original,1995,12,159,200,19,Chemical
160,"Flexible or Portable Closure, Partition, or Panel",original,1995,125,160,200,69,Others
162,Paper Making and Fiber Liberation,original,1995,224,162,200,19,Chemical
163,Needle and Pin Making,original,1995,0,163,200,52,Mechanical
164,Metal Founding,original,1995,175,164,200,52,Mechanical
165,Heat Exchange,original,1995,253,165,200,66,Others
166,Wells,original,1995,407,166,200,64,Others
168,Farriery,original,1995,2,168,200,69,Others
169,Fire Extinguishers,original,1995,32,169,200,69,Others
171,Unearthing Plants or Buried Objects,original,1995,8,171,200,64,Others
172,Earth Working,original,1995,109,172,200,64,Others
173,Tool Driving or Impacting,original,1995,53,173,200,51,Mechanical
174,Electricity:  Conductors and Insulators,original,1995,404,174,200,41,Electrical & Electronic
175,Boring or Penetrating the Earth,original,1995,170,175,200,64,Others
177,Weighing Scales,original,1995,41,177,200,69,Others
178,Telegraphy,original,1995,42,178,200,21,Computers & Communications
180,Motor Vehicles,original,1995,215,180,200,55,Mechanical
181,Acoustics,original,1995,112,181,200,69,Others
182,"Fire Escape, Ladder, or Scaffold",original,1995,104,182,200,65,Others
184,Lubrication,original,1995,53,184,200,59,Mechanical
185,"Motors:  Spring, Weight, or Animal Powered",original,1995,5,185,200,53,Mechanical
